species,catalog,catalog_id,p,N,matches_checked,FR,FA,cost
bottlenose_dolphin,Kaggle-Sarasota dolphins,bottlenose_dolphin-2,0.435756483,667,45,0.009722222,0,1098
bottlenose_dolphin,Kaggle-Sarasota dolphins,bottlenose_dolphin-2,0.435756483,667,50,0.009722222,0,1133
bottlenose_dolphin,PWF-Bottlenose Dolphins,bottlenose_dolphin-3,0.429623979,519,1,0.011928429,0.045725646,503
bottlenose_dolphin,PWF-Bottlenose Dolphins,bottlenose_dolphin-3,0.429623979,519,5,0.013916501,0,558
bottlenose_dolphin,PWF-Bottlenose Dolphins,bottlenose_dolphin-3,0.429623979,519,10,0.011928429,0,590
bottlenose_dolphin,PWF-Bottlenose Dolphins,bottlenose_dolphin-3,0.429623979,519,15,0.011928429,0,620
bottlenose_dolphin,PWF-Bottlenose Dolphins,bottlenose_dolphin-3,0.429623979,519,20,0.011928429,0,650
bottlenose_dolphin,PWF-Bottlenose Dolphins,bottlenose_dolphin-3,0.429623979,519,25,0.011928429,0,680
bottlenose_dolphin,PWF-Bottlenose Dolphins,bottlenose_dolphin-3,0.429623979,519,30,0.011928429,0,710
bottlenose_dolphin,PWF-Bottlenose Dolphins,bottlenose_dolphin-3,0.429623979,519,35,0.011928429,0,740
bottlenose_dolphin,PWF-Bottlenose Dolphins,bottlenose_dolphin-3,0.429623979,519,40,0.011928429,0,770
bottlenose_dolphin,PWF-Bottlenose Dolphins,bottlenose_dolphin-3,0.429623979,519,45,0.011928429,0,800
bottlenose_dolphin,PWF-Bottlenose Dolphins,bottlenose_dolphin-3,0.429623979,519,50,0.011928429,0,830
brydes_whale,Brydes-Whales-Brazil,brydes_whale-0,0.430749141,102,1,0.039215686,0.078431373,102
brydes_whale,Brydes-Whales-Brazil,brydes_whale-0,0.430749141,102,5,0.049019608,0,134
brydes_whale,Brydes-Whales-Brazil,brydes_whale-0,0.430749141,102,10,0.039215686,0,155
brydes_whale,Brydes-Whales-Brazil,brydes_whale-0,0.430749141,102,15,0.019607843,0,174
brydes_whale,Brydes-Whales-Brazil,brydes_whale-0,0.430749141,102,20,0.019607843,0,184
brydes_whale,Brydes-Whales-Brazil,brydes_whale-0,0.430749141,102,25,0.019607843,0,194
brydes_whale,Brydes-Whales-Brazil,brydes_whale-0,0.430749141,102,30,0.019607843,0,204
brydes_whale,Brydes-Whales-Brazil,brydes_whale-0,0.430749141,102,35,0.019607843,0,214
brydes_whale,Brydes-Whales-Brazil,brydes_whale-0,0.430749141,102,40,0.019607843,0,224
brydes_whale,Brydes-Whales-Brazil,brydes_whale-0,0.430749141,102,45,0.019607843,0,234
brydes_whale,Brydes-Whales-Brazil,brydes_whale-0,0.430749141,102,50,0.019607843,0,244
commersons_dolphin,Commersons-Dolphins,commersons_dolphin-0,0.403121013,173,1,0.051282051,0.205128205,78
commersons_dolphin,Commersons-Dolphins,commersons_dolphin-0,0.403121013,173,5,0.025641026,0,115
commersons_dolphin,Commersons-Dolphins,commersons_dolphin-0,0.403121013,173,10,0.012820513,0,121
commersons_dolphin,Commersons-Dolphins,commersons_dolphin-0,0.403121013,173,15,0.012820513,0,126
commersons_dolphin,Commersons-Dolphins,commersons_dolphin-0,0.403121013,173,20,0,0,131
commersons_dolphin,Commersons-Dolphins,commersons_dolphin-0,0.403121013,173,25,0,0,131
commersons_dolphin,Commersons-Dolphins,commersons_dolphin-0,0.403121013,173,30,0,0,131
commersons_dolphin,Commersons-Dolphins,commersons_dolphin-0,0.403121013,173,35,0,0,131
commersons_dolphin,Commersons-Dolphins,commersons_dolphin-0,0.403121013,173,40,0,0,131
commersons_dolphin,Commersons-Dolphins,commersons_dolphin-0,0.403121013,173,45,0,0,131
commersons_dolphin,Commersons-Dolphins,commersons_dolphin-0,0.403121013,173,50,0,0,131
common_dolphin,Common-Dolphins,common_dolphin-0,0.498789874,76,1,0.046391753,0.134020619,194
common_dolphin,Common-Dolphins,common_dolphin-0,0.498789874,76,5,0.103092784,0,310
common_dolphin,Common-Dolphins,common_dolphin-0,0.498789874,76,10,0.067010309,0,391
common_dolphin,Common-Dolphins,common_dolphin-0,0.498789874,76,15,0.06185567,0,453
common_dolphin,Common-Dolphins,common_dolphin-0,0.498789874,76,20,0.056701031,0,513
common_dolphin,Common-Dolphins,common_dolphin-0,0.498789874,76,25,0.056701031,0,568
common_dolphin,Common-Dolphins,common_dolphin-0,0.498789874,76,30,0.051546392,0,623
common_dolphin,Common-Dolphins,common_dolphin-0,0.498789874,76,35,0.051546392,0,673
common_dolphin,Common-Dolphins,common_dolphin-0,0.498789874,76,40,0.051546392,0,723
common_dolphin,Common-Dolphins,common_dolphin-0,0.498789874,76,45,0.046391753,0,769
common_dolphin,Common-Dolphins,common_dolphin-0,0.498789874,76,50,0.046391753,0,814
cuviers_beaked_whale,ZicaMachineLearning,cuviers_beaked_whale-0,0.416434916,439,1,0.079691517,0.334190231,389
cuviers_beaked_whale,ZicaMachineLearning,cuviers_beaked_whale-0,0.416434916,439,5,0.074550129,0,687
cuviers_beaked_whale,ZicaMachineLearning,cuviers_beaked_whale-0,0.416434916,439,10,0.048843188,0,808
cuviers_beaked_whale,ZicaMachineLearning,cuviers_beaked_whale-0,0.416434916,439,15,0.041131105,0,896
cuviers_beaked_whale,ZicaMachineLearning,cuviers_beaked_whale-0,0.416434916,439,20,0.035989717,0,968
cuviers_beaked_whale,ZicaMachineLearning,cuviers_beaked_whale-0,0.416434916,439,25,0.030848329,0,1031
cuviers_beaked_whale,ZicaMachineLearning,cuviers_beaked_whale-0,0.416434916,439,30,0.028277635,0,1089
cuviers_beaked_whale,ZicaMachineLearning,cuviers_beaked_whale-0,0.416434916,439,35,0.028277635,0,1144
cuviers_beaked_whale,ZicaMachineLearning,cuviers_beaked_whale-0,0.416434916,439,40,0.025706941,0,1199
cuviers_beaked_whale,ZicaMachineLearning,cuviers_beaked_whale-0,0.416434916,439,45,0.023136247,0,1245
cuviers_beaked_whale,ZicaMachineLearning,cuviers_beaked_whale-0,0.416434916,439,50,0.023136247,0,1290
dusky_dolphin,Dusky-Dolphins,dusky_dolphin-0,0.4,6827,1,0.082173913,0.148695652,2300
dusky_dolphin,Dusky-Dolphins,dusky_dolphin-0,0.4,6827,5,0.068695652,0.000869565,3436
dusky_dolphin,Dusky-Dolphins,dusky_dolphin-0,0.4,6827,10,0.057826087,0,4175
dusky_dolphin,Dusky-Dolphins,dusky_dolphin-0,0.4,6827,15,0.05173913,0,4815
dusky_dolphin,Dusky-Dolphins,dusky_dolphin-0,0.4,6827,20,0.048695652,0,5397
dusky_dolphin,Dusky-Dolphins,dusky_dolphin-0,0.4,6827,25,0.046521739,0,5946
dusky_dolphin,Dusky-Dolphins,dusky_dolphin-0,0.4,6827,30,0.045217391,0,6479
dusky_dolphin,Dusky-Dolphins,dusky_dolphin-0,0.4,6827,35,0.043043478,0,6989
dusky_dolphin,Dusky-Dolphins,dusky_dolphin-0,0.4,6827,40,0.043043478,0,7484
dusky_dolphin,Dusky-Dolphins,dusky_dolphin-0,0.4,6827,45,0.042173913,0,7975
dusky_dolphin,Dusky-Dolphins,dusky_dolphin-0,0.4,6827,50,0.04173913,0,8460
false_killer_whale,AET-False Killer Whales,false_killer_whale-0,0.413507986,29,1,0.05,0.05,20
false_killer_whale,AET-False Killer Whales,false_killer_whale-0,0.413507986,29,5,0.05,0,27
false_killer_whale,AET-False Killer Whales,false_killer_whale-0,0.413507986,29,10,0,0,32
false_killer_whale,AET-False Killer Whales,false_killer_whale-0,0.413507986,29,15,0,0,32
false_killer_whale,AET-False Killer Whales,false_killer_whale-0,0.413507986,29,20,0,0,32
false_killer_whale,AET-False Killer Whales,false_killer_whale-0,0.413507986,29,25,0,0,32
